更新时间: 2026-01-07 17:27:59（北京时间）

更新时间,#genre#
2026-01-07 17:27:59,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV17,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8
卫视频道,#genre#
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
广西卫视,http://144.123.220.47:80/wh7f454c46tw111685212_1092286008/2/00/CHANNEL00000038/2540800/1.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000330/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
湖北卫视,http://150.138.8.143/00/SNM/CHANNEL00000325/index.m3u8
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000335/index.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000348/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000329/index.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000367/index.m3u8
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000327/index.m3u8
辽宁卫视,http://150.138.8.143/00/SNM/CHANNEL00000326/index.m3u8
吉林卫视,http://144.123.220.43:80/wh7f454c46tw3394797750_2100012903/2/00/CHANNEL00000036/2540800/1.m3u8
宁夏卫视,http://144.123.220.43:80/wh7f454c46tw3596018626_1806805609/2/00/CHANNEL00000043/2540800/1.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000349/index.m3u8
青海卫视,http://144.123.220.44:80/wh7f454c46tw3668958560_-1590177523/2/00/CHANNEL00000042/2540800/1.m3u8
新疆卫视,http://144.123.220.43:80/wh7f454c46tw3619216835_-1782766063/2/00/CHANNEL00000044/2540800/1.m3u8
山东教育卫视,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8
数字频道,#genre#
纪实人文,http://150.138.8.143/00/SNM/CHANNEL00000333/index.m3u8
金鹰纪实,http://150.138.8.143/00/SNM/CHANNEL00000334/index.m3u8
卡酷少儿,http://150.138.8.143/00/SNM/CHANNEL00000364/index.m3u8
金鹰卡通,http://144.123.220.42:80/wh7f454c46tw141994439_-123240046/2/00/CHANNEL00000047/2540800/1.m3u8
哈哈炫动,http://144.123.220.38:80/wh7f454c46tw184021769_1366609685/2/00/CHANNEL00000050/2540800/1.m3u8
