CCTV1综合,rtp://239.49.8.19:9614
CCTV2财经,rtp://239.49.8.50:9802
CCTV3综艺,rtp://239.49.8.74:8000
CCTV4中文国际,rtp://239.49.8.51:9806
CCTV5体育,rtp://239.49.8.75:8000
CCTV5+体育赛事,rtp://239.49.8.18:9610
CCTV6电影,rtp://239.49.8.76:8000
CCTV7国防军事,rtp://239.49.0.126:8000
CCTV8电视剧,rtp://239.49.8.77:8000
CCTV9纪录,rtp://239.49.8.53:9814
CCTV10科教,rtp://239.49.8.54:9818
CCTV11戏曲,rtp://239.49.0.127:8000
CCTV12社会与法,rtp://239.49.8.55:9822
CCTV13新闻,rtp://239.49.8.109:8000
CCTV14少儿,rtp://239.49.8.56:9826
CCTV15音乐,rtp://239.49.0.128:8000
CCTV16奥林匹克,rtp://239.49.0.109:8000
CCTV17农村农业,rtp://239.49.8.52:9810
CCTV4K超高清,rtp://239.49.0.82:8000
湖南卫视,rtp://239.49.8.12:9418
江苏卫视,rtp://239.49.8.16:9602
浙江卫视,rtp://239.49.8.20:9618
北京卫视,rtp://239.49.8.11:9414
东方卫视,rtp://239.49.8.17:9606
天津卫视,rtp://239.49.8.35:8620
安徽卫视,rtp://239.49.8.80:8000
山东卫视,rtp://239.49.8.7:9306
广东卫视,rtp://239.49.8.13:9422
深圳卫视,rtp://239.49.8.15:9430
湖北卫视,rtp://239.49.8.8:9632
辽宁卫视,rtp://239.49.8.48:8000
黑龙江卫视,rtp://239.49.8.14:9426
江西卫视,rtp://239.49.8.111:8000
重庆卫视,rtp://239.49.8.57:9830
东南卫视,rtp://239.49.8.112:8000
四川卫视,rtp://239.49.8.110:8000
广西卫视,rtp://239.49.8.10:8000
河北卫视,rtp://239.49.8.114:8000
河南卫视,rtp://239.49.8.29:8000
贵州卫视,rtp://239.49.8.49:8000
山西卫视,rtp://239.49.1.51:6000
海南卫视,rtp://239.49.8.83:8000
